Official Theme / Element,Primary Sub-Score Axis,Secondary Sub-Score Axis,Question,Specific Free-Text Target Cues,Specific Free-Text Target Description
We are Compassionate and Inclusive,Compassionate Culture,,Care of patients / service users is my organisation's top priority,patient care; care quality; organisational values; compassion; standards slipping; priorities shifting,"Use this anchor when comments refer to organisational values, patient focus, or concerns that priorities have shifted away from care quality."
We are Compassionate and Inclusive,Compassionate Culture,,I feel that my role makes a difference to patients / service users,purpose; impact; meaningful work; contribution; motivation; disconnected from patient outcomes,"Use this when comments mention purpose, impact, or meaningful work. Look for cues about contribution, motivation, or feeling disconnected from patient outcomes."
We are Compassionate and Inclusive,Compassionate Culture,,I would recommend my organisation as a place to work,organisational reputation; pride; willingness to recommend; good place to work,"Use this anchor when comments refer to organisational reputation, pride, or willingness to recommend."
We are Compassionate and Inclusive,Compassionate Culture,,If a friend or relative needed treatment I would be happy with the standard of care provided by this organisation,care quality; safety; trust in services; declining quality; patient experience,"Use this when comments refer to care quality, safety, or trust in services. Look for cues about standards, patient experience, or concerns about declining quality."
We are Compassionate and Inclusive,Compassionate Culture,,My organisation acts on concerns raised by patients / service users,patient feedback; complaints handling; organisational responsiveness; patient concerns ignored,"Use this anchor when comments mention patient feedback, complaints handling, or organisational responsiveness."
We are compassionate and inclusive,Compassionate leadership,,My immediate manager is interested in listening to me when I describe challenges I face,listening; being heard; understood; taken seriously; ignored; communication quality,"Use this anchor when comments refer to being listened to, understood, or taken seriously. Look for cues about communication quality or feeling ignored."
We are compassionate and inclusive,Compassionate leadership,,My immediate manager takes effective action to help me with any problems I face,practical support; problem solving; follow-through; responsiveness; manager inaction,"Use this when comments refer to practical support, problem-solving, or managers failing to act."
We are compassionate and inclusive,Compassionate leadership,,My immediate manager works together with me to come to an understanding of problems,collaboration; shared understanding; partnership; empathy; feeling dismissed,Use this anchor when comments refer to collaborative problem-solving or shared understanding.
We are compassionate and inclusive,Diversity and equality,,"Does your organisation act fairly with regard to career progression/promotion, regardless of e.g. age, disability, ethnic background, gender reassignment, religion, sex, or sexual orientation?",fairness; equal opportunities; bias; discrimination; favouritism; blocked progression,"Use this anchor when comments refer to fairness, equal opportunities, or bias in promotion."
We are compassionate and inclusive,Diversity and equality,,"I think that my organisation respects individual differences (e.g. cultures, working styles, backgrounds, ideas, etc).",inclusion; respect; valuing diversity; belonging; marginalisation,"Use this when comments refer to inclusion, respect, or valuing diversity."
We are compassionate and inclusive,Diversity and equality,,In the last 12 months have you personally experienced discrimination at work from manager / team leader or other colleagues?,discrimination; unfair treatment; bias; exclusion; protected characteristics,Use this anchor when comments refer to discrimination based on protected characteristics.
We are compassionate and inclusive,Diversity and equality,,"In the last 12 months have you personally experienced discrimination at work from patients / service users, their relatives or other members of the public?",discrimination from service users; racism; sexism; protected characteristics,Use this when comments refer to discriminatory behaviour from service users.
We are compassionate and inclusive,Inclusion,,I feel a strong personal attachment to my team,belonging; team identity; cohesion; connection; loyalty; isolation,"Use this anchor when comments refer to belonging, team identity, or cohesion. Look for cues about connection, loyalty, or feeling isolated."
We are compassionate and inclusive,Inclusion,,I feel valued by my team,peer appreciation; recognition from colleagues; supported by team; overlooked by peers,"Use this when comments refer to appreciation from peers. Look for cues about recognition, support, or feeling overlooked."
We are compassionate and inclusive,Inclusion,,The people I work with are polite and treat each other with respect,respect; civility; kindness; polite behaviour; courteous interactions,"Use this anchor when comments refer to respect, kindness, or civility. Look for cues about tone, interpersonal behaviour, or team climate."
