Question,People Promise / Theme,Sub,Further Sub,Notes
Care of patients / service users is my organisation's top priority,We are compassionate and inclusive,Compassionate culture,,"Use this anchor when comments refer to organisational values, patient focus, or concerns that priorities have shifted away from care quality. Look for cues about standards, compassion, or organisational direction. Distinguish from “Workload” (pressure rather than values)."
I feel that my role makes a difference to patients / service users,We are compassionate and inclusive,Compassionate culture,,"Use this when comments mention purpose, impact, or meaningful work. Look for cues about contribution, motivation, or feeling disconnected from patient outcomes. Distinguish from “Valued” (recognition)."
I would recommend my organisation as a place to work,We are compassionate and inclusive,Compassionate culture,,"Use this anchor when comments refer to organisational reputation, pride, or willingness to recommend."
If a friend or relative needed treatment I would be happy with the standard of care provided by this organisation,We are compassionate and inclusive,Compassionate culture,,"Use this when comments refer to care quality, safety, or trust in services. Look for cues about standards, patient experience, or concerns about declining quality. Distinguish from “Health & Safety Climate” (staff safety) and “Burnout” (emotional strain)."
My organisation acts on concerns raised by patients / service users,We are compassionate and inclusive,Compassionate culture,,"Use this anchor when comments mention patient feedback, complaints handling, or organisational responsiveness. Distinguish from “Raising Concerns” (staff concerns) and “Line Management” (manager behaviour). Use when the focus is on patient?driven issues."
My immediate manager cares about my concerns,We are compassionate and inclusive,Compassionate leadership,,"Use this when comments refer to empathy, emotional support, or feeling heard by a manager. Look for cues about compassion, kindness, or dismissiveness. Distinguish from “Line Management” (task?focused behaviour) and “Raising Concerns” (fear of speaking up)."
My immediate manager is interested in listening to me when I describe challenges I face,We are compassionate and inclusive,Compassionate leadership,,"Use this anchor when comments refer to being listened to, understood, or taken seriously. Look for cues about communication quality or feeling ignored. Distinguish from “Autonomy & Control” (decision?making) and “Team Working” (peer relationships)."
My immediate manager takes effective action to help me with any problems I face,We are compassionate and inclusive,Compassionate leadership,,"Use this when comments refer to practical support, problem?solving, or managers failing to act. Look for cues about follow?through, responsiveness, or inaction. Distinguish from “Health & Safety Climate” (systemic issues) and “Workload” (structural pressure)."
My immediate manager works together with me to come to an understanding of problems,We are compassionate and inclusive,Compassionate leadership,,"Use this anchor when comments refer to collaborative problem?solving or shared understanding. Look for cues about partnership, empathy, or feeling dismissed. Distinguish from “Team Working” (peer collaboration)."
"Does your organisation act fairly with regard to career progression/promotion, regardless of e.g. age, disability, ethnic background, gender reassignment, religion, sex, or sexual orientation?",We are compassionate and inclusive,Diversity and equality,,"Use this anchor when comments refer to fairness, equal opportunities, or bias in promotion. Look for cues about discrimination, favouritism, or blocked progression. Distinguish from “Development” (opportunities) and “Line Management” (manager behaviour unless discrimination is implied)."
"I think that my organisation respects individual differences (e.g. cultures, working styles, backgrounds, ideas, etc).",We are compassionate and inclusive,Diversity and equality,,"Use this when comments refer to inclusion, respect, or valuing diversity. Look for cues about culture, belonging, or feeling marginalised. Distinguish from “Inclusion” (team?level belonging) and “Compassionate Culture” (organisational values)."
In the last 12 months have you personally experienced discrimination at work from manager / team leader or other colleagues?,We are compassionate and inclusive,Diversity and equality,,"Use this anchor when comments refer to discrimination based on protected characteristics. Look for explicit references to unfair treatment, bias, or exclusion. Distinguish from “Abuse/Bullying” (behaviour not tied to protected characteristics)."
"In the last 12 months have you personally experienced discrimination at work from patients / service users, their relatives or other members of the public?",We are compassionate and inclusive,Diversity and equality,,"Use this when comments refer to discriminatory behaviour from service users. Look for cues about racism, sexism, or other protected characteristics. Distinguish from “Abuse/Bullying” unless the comment explicitly frames it as discrimination."
I feel a strong personal attachment to my team,We are compassionate and inclusive,Inclusion,,"Use this anchor when comments refer to belonging, team identity, or cohesion. Look for cues about connection, loyalty, or feeling isolated. Distinguish from “Team Working” (function) and “Working Relationships” (interpersonal dynamics)."
I feel valued by my team,We are compassionate and inclusive,Inclusion,,"Use this when comments refer to appreciation from peers. Look for cues about recognition, support, or feeling overlooked. Distinguish from “Valued” under Recognised & Rewarded (which is broader and includes organisational recognition)."
The people I work with are polite and treat each other with respect,We are compassionate and inclusive,Inclusion,,"Use this anchor when comments refer to respect, kindness, or civility. Look for cues about tone, interpersonal behaviour, or team climate. Distinguish from “Abuse/Bullying” (severe behaviour) and “Working Relationships” (role clarity or conflict)."
The people I work with are understanding and kind to one another,We are compassionate and inclusive,Inclusion,,"Use this anchor when comments refer to respect, kindness, or civility. Look for cues about tone, interpersonal behaviour, or team climate. Distinguish from “Abuse/Bullying” (severe behaviour) and “Working Relationships” (role clarity or conflict)."
My level of pay,We are recognised and rewarded,Pay,Agenda for change / banding,"Use this anchor when comments refer to banding, Agenda for Change, or pay structure. Look for cues about fairness, progression, or mismatch between responsibilities and band. Distinguish from “Cost of Living” (external pressures) and “Valued” (recognition rather than pay)."
My level of pay,We are recognised and rewarded,Pay,Cost of living,"Use this when comments refer to affordability, inflation, rising costs, or struggling financially. Look for cues about hardship, financial stress, or pay not keeping pace with living costs. Distinguish from “Banding” (structural pay issues) and “Workload” (pressure unrelated to pay)."
My level of pay,We are recognised and rewarded,Pay,Other,"Use this when comments refer to pay but do not specify banding, cost of living, or overtime. This is the default category for general pay dissatisfaction. Distinguish from “Valued” unless the comment explicitly links recognition to pay."
My level of pay,We are recognised and rewarded,Pay,Overtime / unpaid,"Use this anchor when comments mention unpaid overtime, staying late, or not being compensated for additional hours. Look for cues about fairness, exploitation, or workload spillover. Distinguish from “Workload” (pressure) unless the comment explicitly links it to unpaid time."
My immediate manager values my work,We are recognised and rewarded,Valued,Non acute vs acute,"Use this anchor when comments explicitly refer to differences in how acute vs non?acute services are valued (e.g., “everything goes to the wards”, “community teams are forgotten”). Look for cues about organisational prioritisation, resource allocation, or visibility of work. Do not infer setting unless the comment makes it clear. This distinction reflects recurring staff perceptions rather than a formal taxonomy. Use the “Other” sub?theme when the comment is about feeling valued but does not specify acute/non?acute context."
The extent to whch organisation values my work,We are recognised and rewarded,Valued,Non acute vs acute,"Use this anchor when comments explicitly refer to differences in how acute vs non?acute services are valued (e.g., “everything goes to the wards”, “community teams are forgotten”). Look for cues about organisational prioritisation, resource allocation, or visibility of work. Do not infer setting unless the comment makes it clear. This distinction reflects recurring staff perceptions rather than a formal taxonomy. Use the “Other” sub?theme when the comment is about feeling valued but does not specify acute/non?acute context."
The people I work with show appreciation to one another,We are recognised and rewarded,Valued,Non acute vs acute,"Use this anchor when comments explicitly refer to differences in how acute vs non?acute services are valued (e.g., “everything goes to the wards”, “community teams are forgotten”). Look for cues about organisational prioritisation, resource allocation, or visibility of work. Do not infer setting unless the comment makes it clear. This distinction reflects recurring staff perceptions rather than a formal taxonomy. Use the “Other” sub?theme when the comment is about feeling valued but does not specify acute/non?acute context."
The recognition I get for good work,We are recognised and rewarded,Valued,Non acute vs acute,"Use this anchor when comments explicitly refer to differences in how acute vs non?acute services are valued (e.g., “everything goes to the wards”, “community teams are forgotten”). Look for cues about organisational prioritisation, resource allocation, or visibility of work. Do not infer setting unless the comment makes it clear. This distinction reflects recurring staff perceptions rather than a formal taxonomy. Use the “Other” sub?theme when the comment is about feeling valued but does not specify acute/non?acute context."
My immediate manager values my work,We are recognised and rewarded,Valued,Non clinical vs clinical,"Use this anchor when comments explicitly mention feeling undervalued because of being in a non?clinical or clinical role. Look for cues such as “corporate staff are ignored”, “clinical staff get all the praise”, or “non?clinical roles are invisible”. Avoid assumptions — only apply when staff group is stated or strongly implied. This distinction is based on patterns in staff experience, not an official People Promise structure."
The extent to whch organisation values my work,We are recognised and rewarded,Valued,Non clinical vs clinical,"Use this anchor when comments explicitly mention feeling undervalued because of being in a non?clinical or clinical role. Look for cues such as “corporate staff are ignored”, “clinical staff get all the praise”, or “non?clinical roles are invisible”. Avoid assumptions — only apply when staff group is stated or strongly implied. This distinction is based on patterns in staff experience, not an official People Promise structure."
